Store,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,State
431,d,c,4520,0,0,0,0,0,0,NW
432,a,a,810,5,2013,0,0,0,0,HH
433,a,c,30030,11,2010,0,0,0,0,SH
434,a,a,13020,8,2003,1,40,2014,Jan;Apr;Jul;Oct,BY
435,a,a,910,0,0,0,0,0,0,NW
436,d,a,2300,0,0,0,0,0,0,SN
437,c,c,430,0,0,1,50,2010,Jan;Apr;Jul;Oct,SN
438,d,c,1110,0,0,1,40,2012,Jan;Apr;Jul;Oct,SN
439,a,a,1350,9,2009,0,0,0,0,BE
440,d,a,3900,4,2005,1,45,2009,Feb;May;Aug;Nov,BW
441,d,a,2530,0,0,0,0,0,0,NW
442,c,a,500,0,0,1,45,2009,Feb;May;Aug;Nov,BW
443,d,a,11400,12,2005,0,0,0,0,SN
444,c,a,1700,11,2009,0,0,0,0,SN
445,a,a,240,0,0,0,0,0,0,NW
446,a,a,340,10,2000,1,31,2013,Feb;May;Aug;Nov,NW
447,a,c,1510,9,2013,0,0,0,0,SH
448,a,c,3970,9,2009,0,0,0,0,NW
449,a,c,120,12,2014,1,37,2009,Jan;Apr;Jul;Oct,HE
450,c,a,5780,11,1994,1,10,2014,Mar;Jun;Sep;Dec,BW
451,a,a,2460,4,2009,1,13,2010,Jan;Apr;Jul;Oct,HE
452,a,c,1850,8,2013,1,5,2011,Feb;May;Aug;Nov,SH
453,a,c,75860,0,0,0,0,0,0,SH
454,a,a,26450,0,0,0,0,0,0,ST
455,d,c,7660,9,2010,0,0,0,0,BW
456,a,c,140,0,0,0,0,0,0,NW
457,d,c,13140,0,0,1,31,2013,Jan;Apr;Jul;Oct,BY
458,c,a,3390,0,0,0,0,0,0,HE
459,a,a,250,9,2008,1,5,2013,Feb;May;Aug;Nov,SH
460,a,a,34050,4,2008,0,0,0,0,ST
461,d,c,1790,7,2013,1,40,2013,Jan;Apr;Jul;Oct,BW
462,a,a,44320,8,2008,0,0,0,0,ST
463,a,a,4160,0,0,0,0,0,0,NW
464,c,a,520,3,2009,0,0,0,0,BE
465,d,c,10890,4,2005,0,0,0,0,HE
466,a,c,3110,3,2003,0,0,0,0,NW
467,a,c,20390,4,2008,0,0,0,0,NW
468,c,c,5260,9,2012,0,0,0,0,SH
469,c,c,710,9,2005,0,0,0,0,BE
470,a,c,50,0,0,0,0,0,0,NW
471,d,a,5300,0,0,1,45,2009,Feb;May;Aug;Nov,BY
472,c,c,5030,8,2011,0,0,0,0,HH
473,a,a,50,0,0,0,0,0,0,NW
474,c,a,14810,0,0,1,14,2011,Mar;Jun;Sep;Dec,TH
475,a,a,140,9,2005,0,0,0,0,NW
476,d,a,8300,9,2006,0,0,0,0,SN
477,d,a,770,7,2010,1,35,2010,Jan;Apr;Jul;Oct,BY
478,d,c,1940,3,2012,0,0,0,0,BE
479,a,a,320,12,2005,1,9,2011,Feb;May;Aug;Nov,ST
480,a,a,300,11,2012,0,0,0,0,BE
481,c,c,7470,0,0,1,44,2012,Feb;May;Aug;Nov,HE
482,c,a,2550,10,2005,0,0,0,0,ST
483,a,c,2310,9,2011,1,13,2010,Jan;Apr;Jul;Oct,ST
484,a,c,14300,3,2011,0,0,0,0,SH
485,d,c,3270,0,0,1,22,2012,Jan;Apr;Jul;Oct,BY
486,a,a,2320,0,0,1,31,2013,Jan;Apr;Jul;Oct,NW
487,d,c,2180,9,2012,1,40,2012,Jan;Apr;Jul;Oct,SH
488,a,c,2890,4,2014,0,0,0,0,SH
489,a,a,14960,11,2013,1,37,2009,Jan;Apr;Jul;Oct,ST
490,a,a,660,4,2013,1,40,2014,Jan;Apr;Jul;Oct,BY
491,d,c,4680,0,0,1,22,2012,Mar;Jun;Sep;Dec,BW
492,a,a,1740,3,2008,1,40,2012,Jan;Apr;Jul;Oct,BY
493,d,c,1150,0,0,1,14,2011,Jan;Apr;Jul;Oct,NW
494,b,a,1260,6,2011,0,0,0,0,BE
495,d,a,5470,0,0,1,37,2009,Jan;Apr;Jul;Oct,BW
496,d,c,2780,6,2015,0,0,0,0,BE
497,a,c,1610,0,0,0,0,0,0,HE
498,a,a,990,0,0,1,40,2014,Jan;Apr;Jul;Oct,BY
499,c,c,450,0,0,1,5,2013,Feb;May;Aug;Nov,BW
500,d,c,10690,9,2007,1,5,2013,Jan;Apr;Jul;Oct,BY
501,a,c,1620,9,2006,0,0,0,0,BY
502,a,a,220,2,2002,1,37,2009,Jan;Apr;Jul;Oct,HE
503,d,c,13080,9,2006,1,14,2011,Jan;Apr;Jul;Oct,ST
504,c,c,820,0,0,0,0,0,0,"HB,NI"
505,a,a,350,0,0,1,5,2013,Feb;May;Aug;Nov,BW
506,a,a,1850,12,2014,1,18,2011,Feb;May;Aug;Nov,NW
507,a,c,9070,4,2011,1,37,2009,Jan;Apr;Jul;Oct,NW
508,a,c,1280,0,0,1,40,2011,Jan;Apr;Jul;Oct,NW
509,a,a,4740,7,2008,1,37,2009,Jan;Apr;Jul;Oct,HE
510,a,c,8260,0,0,0,0,0,0,NW
511,a,a,2060,9,2009,0,0,0,0,"HB,NI"
512,b,b,590,0,0,1,5,2013,Mar;Jun;Sep;Dec,BY
513,a,a,400,8,2013,0,0,0,0,BE
514,c,c,1200,7,2012,1,27,2012,Jan;Apr;Jul;Oct,BY
515,d,c,11260,0,0,1,9,2011,Feb;May;Aug;Nov,NW
516,a,c,20,0,0,1,35,2010,Mar;Jun;Sep;Dec,NW
517,a,c,22490,0,0,0,0,0,0,HE
518,d,c,3330,3,2015,1,13,2010,Jan;Apr;Jul;Oct,BY
519,c,c,2510,8,2009,1,1,2012,Jan;Apr;Jul;Oct,SH
520,a,c,6900,0,0,1,40,2012,Mar;Jun;Sep;Dec,SH
521,d,a,18610,11,2002,1,48,2011,Mar;Jun;Sep;Dec,RP
522,d,c,7160,11,2012,1,9,2011,Jan;Apr;Jul;Oct,BY
523,c,c,50,11,2013,0,0,0,0,BE
524,a,c,40860,9,2013,0,0,0,0,SH
525,d,c,1870,9,2013,0,0,0,0,BE
526,a,a,120,0,0,1,48,2011,Mar;Jun;Sep;Dec,TH
527,d,c,5830,4,2008,0,0,0,0,NW
528,a,c,20620,0,0,1,37,2009,Jan;Apr;Jul;Oct,NW
529,d,c,12920,9,2012,0,0,0,0,SH
530,a,c,18160,0,0,0,0,0,0,SH
531,a,c,4030,0,0,0,0,0,0,HH
532,a,c,1070,8,2010,0,0,0,0,NW
533,a,c,5950,0,0,0,0,0,0,BW
534,d,a,1200,9,2009,1,45,2009,Jan;Apr;Jul;Oct,BY
535,a,a,3570,4,2007,0,0,0,0,NW
536,a,c,4700,9,2002,1,31,2013,Feb;May;Aug;Nov,NW
537,a,a,600,5,2002,1,1,2012,Jan;Apr;Jul;Oct,BW
538,a,a,990,2,2010,0,0,0,0,SH
539,a,a,770,5,2013,1,40,2014,Jan;Apr;Jul;Oct,BY
540,d,c,810,0,0,1,48,2012,Jan;Apr;Jul;Oct,BY
541,a,c,650,7,1990,0,0,0,0,NW
542,a,a,7280,9,2012,1,1,2013,Jan;Apr;Jul;Oct,BY
543,c,a,1080,12,2012,0,0,0,0,HE
544,a,a,250,12,2001,1,13,2010,Jan;Apr;Jul;Oct,SN
545,a,c,5020,5,2006,1,18,2014,Feb;May;Aug;Nov,NW
546,a,a,580,1,2005,0,0,0,0,BE
547,d,c,8990,11,2009,1,35,2010,Mar;Jun;Sep;Dec,BY
548,d,c,3760,2,2009,0,0,0,0,HE
549,a,c,2330,0,0,0,0,0,0,HH
550,d,c,50,6,2015,0,0,0,0,HE
551,a,c,2190,9,2013,0,0,0,0,SH
552,a,a,4260,7,2008,1,37,2009,Jan;Apr;Jul;Oct,HE
553,c,a,3040,9,2002,1,13,2010,Jan;Apr;Jul;Oct,BW
554,c,c,1200,0,0,0,0,0,0,HH
555,d,a,1560,1,2014,1,10,2013,Mar;Jun;Sep;Dec,BY
556,d,c,1140,11,2014,0,0,0,0,BE
557,a,a,250,0,0,0,0,0,0,NW
558,a,a,3000,2,2010,0,0,0,0,HH
559,d,a,3910,11,2006,1,5,2013,Feb;May;Aug;Nov,ST
560,c,c,1910,7,2013,0,0,0,0,BE
561,d,a,14300,0,0,0,0,0,0,NW
562,b,c,1210,0,0,0,0,0,0,"HB,NI"
563,a,a,700,3,2015,1,10,2014,Jan;Apr;Jul;Oct,NW
564,d,c,6540,0,0,1,14,2013,Jan;Apr;Jul;Oct,NW
565,a,c,160,7,2007,0,0,0,0,NW
566,a,a,3620,0,0,1,40,2013,Jan;Apr;Jul;Oct,HH
567,c,a,1010,9,2012,1,18,2011,Feb;May;Aug;Nov,NW
568,d,c,4270,0,0,1,1,2013,Jan;Apr;Jul;Oct,HE
569,a,a,1340,9,2006,0,0,0,0,BE
570,a,a,180,11,2006,0,0,0,0,NW
571,d,a,2110,11,1995,1,40,2014,Jan;Apr;Jul;Oct,BY
572,d,c,9230,4,2004,1,37,2009,Jan;Apr;Jul;Oct,NW
573,a,a,1190,11,2012,1,36,2013,Jan;Apr;Jul;Oct,BY
574,d,a,4400,0,0,0,0,0,0,BW
575,a,a,960,5,2008,1,13,2010,Jan;Apr;Jul;Oct,BY
576,c,a,50,11,2006,0,0,0,0,BE
577,a,c,2270,0,0,1,35,2012,Mar;Jun;Sep;Dec,SH
578,d,a,12700,4,2013,0,0,0,0,SH
579,c,a,20970,11,2012,0,0,0,0,NW
580,a,c,170,2,2009,0,0,0,0,SH
581,a,a,7250,12,2013,0,0,0,0,RP
582,a,a,120,0,0,0,0,0,0,HE
583,a,a,2640,11,2002,0,0,0,0,ST
584,d,a,1360,0,0,1,35,2010,Mar;Jun;Sep;Dec,HE
585,d,c,440,4,2014,0,0,0,0,SH
586,a,c,250,10,2008,0,0,0,0,NW
587,d,c,330,9,2006,1,14,2011,Jan;Apr;Jul;Oct,BY
588,d,c,15720,3,2010,0,0,0,0,SH
589,a,c,360,0,0,1,18,2013,Feb;May;Aug;Nov,HE
590,d,c,4520,9,2010,1,31,2013,Jan;Apr;Jul;Oct,BW
591,a,c,3340,0,0,1,22,2012,Mar;Jun;Sep;Dec,BW
592,a,a,2540,6,2005,0,0,0,0,NW
593,a,c,33060,3,2010,0,0,0,0,SH
594,a,a,1790,10,2011,0,0,0,0,BE
595,c,c,1130,6,2015,0,0,0,0,BE
596,c,a,290,9,2006,0,0,0,0,BE
597,a,a,150,9,2008,1,1,2012,Mar;Jun;Sep;Dec,RP
598,c,a,550,12,2013,1,40,2014,Jan;Apr;Jul;Oct,BY
599,d,c,580,11,2014,0,0,0,0,BE
600,d,c,17340,6,2010,1,9,2011,Feb;May;Aug;Nov,SH
601,d,a,8220,4,2014,1,14,2011,Jan;Apr;Jul;Oct,HE
602,a,a,2710,7,2001,1,22,2012,Mar;Jun;Sep;Dec,HE
603,a,a,340,4,2007,1,13,2010,Jan;Apr;Jul;Oct,BW
604,d,a,10950,3,2014,0,0,0,0,BY
605,d,a,10310,4,2003,1,37,2009,Jan;Apr;Jul;Oct,BW
606,a,a,2260,11,2007,0,0,0,0,BE
607,a,a,350,8,1999,1,14,2011,Jan;Apr;Jul;Oct,TH
608,a,c,18370,2,2013,1,14,2011,Jan;Apr;Jul;Oct,ST
609,a,a,2070,9,2007,0,0,0,0,BE
610,a,a,660,1,2007,0,0,0,0,NW
611,a,a,8080,12,2002,1,40,2014,Jan;Apr;Jul;Oct,BY
612,d,c,2490,11,2012,1,31,2009,Jan;Apr;Jul;Oct,BY
613,c,a,250,6,2007,1,14,2011,Jan;Apr;Jul;Oct,TH
614,a,a,1160,12,2012,0,0,0,0,SN
615,d,a,730,8,2007,0,0,0,0,HE
616,a,c,3040,8,2011,1,35,2010,Mar;Jun;Sep;Dec,NW
617,a,c,8940,0,0,1,9,2011,Jan;Apr;Jul;Oct,SN
618,d,c,9910,0,0,0,0,0,0,HE
619,a,a,1600,6,2006,1,45,2009,Feb;May;Aug;Nov,BY
620,d,c,5440,0,0,1,40,2014,Jan;Apr;Jul;Oct,BY
621,a,a,30,7,2002,0,0,0,0,NW
622,a,c,0,0,0,0,0,0,0,SH
623,a,a,4080,3,2011,1,13,2010,Jan;Apr;Jul;Oct,NW
624,a,c,6920,9,2011,0,0,0,0,NW
625,a,a,1170,4,2011,1,22,2012,Feb;May;Aug;Nov,NW
626,c,c,10740,11,2013,0,0,0,0,SN
627,c,c,3970,3,2010,0,0,0,0,HE
628,a,c,2180,0,0,0,0,0,0,"HB,NI"
629,d,a,510,7,2014,1,23,2015,Mar;Jun;Sep;Dec,BY
630,a,a,1690,4,2015,0,0,0,0,TH
631,d,c,2870,0,0,1,35,2012,Mar;Jun;Sep;Dec,SH
632,a,a,3350,2,2010,0,0,0,0,HH
633,d,a,11640,4,2005,1,22,2011,Jan;Apr;Jul;Oct,BY
634,d,a,18610,0,0,0,0,0,0,SN
635,a,a,27530,4,2014,0,0,0,0,ST
636,c,a,720,10,2004,1,13,2010,Jan;Apr;Jul;Oct,BY
637,d,c,9790,0,0,1,31,2009,Feb;May;Aug;Nov,BY
638,d,a,10170,11,2001,0,0,0,0,BY
639,a,a,7780,11,2006,0,0,0,0,NW
640,d,c,8040,0,0,0,0,0,0,NW
641,a,c,610,12,2003,1,36,2013,Mar;Jun;Sep;Dec,NW
642,c,c,530,4,2005,1,35,2010,Mar;Jun;Sep;Dec,NW
643,a,a,230,6,2010,1,18,2010,Feb;May;Aug;Nov,SH
644,c,a,4030,12,2004,1,14,2011,Jan;Apr;Jul;Oct,BY
645,a,a,90,0,0,1,45,2009,Feb;May;Aug;Nov,BW
646,a,a,620,9,2014,0,0,0,0,BY
647,a,c,7420,4,2013,0,0,0,0,SH
648,d,a,2130,12,2008,0,0,0,0,BE
649,a,a,14570,11,2002,0,0,0,0,ST
650,a,a,1420,10,2012,1,40,2014,Jan;Apr;Jul;Oct,BY
651,a,a,200,0,0,0,0,0,0,NW
652,a,a,20390,0,0,0,0,0,0,TH
653,d,c,7520,7,2014,1,45,2009,Feb;May;Aug;Nov,NW
654,c,a,6930,9,2006,0,0,0,0,SN
655,d,c,960,11,2012,1,5,2013,Feb;May;Aug;Nov,NW
656,d,a,410,4,2009,1,13,2010,Jan;Apr;Jul;Oct,HE
657,c,c,80,1,2006,1,10,2014,Jan;Apr;Jul;Oct,NW
658,d,c,520,0,0,1,37,2009,Jan;Apr;Jul;Oct,NW
659,d,a,1590,3,2012,0,0,0,0,HE
660,a,a,1200,11,2006,1,40,2014,Jan;Apr;Jul;Oct,BY
661,d,c,2140,7,2013,0,0,0,0,HE
662,d,a,1070,0,0,0,0,0,0,"HB,NI"
663,a,c,7860,5,2005,0,0,0,0,BW
664,d,c,1680,10,2005,0,0,0,0,ST
665,a,a,90,12,2012,1,14,2011,Jan;Apr;Jul;Oct,HE
666,c,c,2700,0,0,1,9,2011,Mar;Jun;Sep;Dec,BW
667,d,c,2870,9,2012,0,0,0,0,SH
668,c,a,1270,9,2010,0,0,0,0,BE
669,d,a,17080,7,2012,1,31,2013,Jan;Apr;Jul;Oct,BY
670,a,a,2060,0,0,1,45,2009,Feb;May;Aug;Nov,BY
671,a,c,2070,2,2008,1,39,2010,Jan;Apr;Jul;Oct,BY
672,c,a,240,9,2002,0,0,0,0,SN
673,d,c,15170,0,0,1,5,2013,Feb;May;Aug;Nov,BW
674,a,a,2640,12,2005,1,31,2013,Feb;May;Aug;Nov,NW
675,a,a,2100,8,2013,1,14,2011,Jan;Apr;Jul;Oct,NW
676,b,b,1410,9,2008,0,0,0,0,HE
677,d,a,1740,6,2014,1,45,2009,Feb;May;Aug;Nov,BY
678,c,a,3250,0,0,1,40,2011,Jan;Apr;Jul;Oct,NW
679,a,a,4140,9,2012,0,0,0,0,BE
680,c,a,170,0,0,1,35,2012,Mar;Jun;Sep;Dec,SH
681,a,c,620,0,0,1,1,2014,Mar;Jun;Sep;Dec,RP
682,b,a,150,9,2006,0,0,0,0,BE
683,a,a,2850,7,2014,0,0,0,0,BE
684,d,c,680,0,0,1,22,2012,Jan;Apr;Jul;Oct,BY
685,a,a,650,11,2013,1,37,2009,Jan;Apr;Jul;Oct,NW
686,a,a,20050,4,2002,0,0,0,0,SN
687,d,c,2770,0,0,0,0,0,0,NW
688,a,a,18760,8,2015,1,14,2011,Jan;Apr;Jul;Oct,ST
689,d,a,15040,10,2004,0,0,0,0,HE
690,a,a,100,0,0,0,0,0,0,NW
691,d,c,3030,0,0,1,37,2009,Jan;Apr;Jul;Oct,NW
692,a,a,40,8,2001,0,0,0,0,NW
693,d,a,450,0,0,1,40,2011,Jan;Apr;Jul;Oct,HE
694,a,c,460,11,2012,1,40,2014,Jan;Apr;Jul;Oct,BY
695,a,a,550,7,2011,1,1,2012,Jan;Apr;Jul;Oct,NW
696,a,c,430,0,0,0,0,0,0,HH
697,d,a,3780,0,0,1,40,2011,Jan;Apr;Jul;Oct,NW
698,a,a,1790,5,2011,0,0,0,0,BE
699,a,a,180,0,0,1,5,2013,Jan;Apr;Jul;Oct,HE
700,a,c,830,0,0,1,27,2013,Jan;Apr;Jul;Oct,HE
701,d,a,1450,3,2012,1,14,2011,Jan;Apr;Jul;Oct,BY
702,a,a,8550,9,2001,1,45,2009,Feb;May;Aug;Nov,BY
703,a,a,80,6,2005,0,0,0,0,NW
704,d,c,1910,4,2009,0,0,0,0,BE
705,a,a,4140,9,2012,1,18,2011,Feb;May;Aug;Nov,NW
706,d,a,7830,9,2014,1,10,2014,Mar;Jun;Sep;Dec,BY
707,a,c,2900,7,1990,0,0,0,0,NW
708,c,c,11470,10,2009,1,18,2014,Jan;Apr;Jul;Oct,SN
709,a,a,500,12,2010,0,0,0,0,BE
710,d,a,1500,9,2008,1,14,2011,Jan;Apr;Jul;Oct,BY
711,d,a,17110,3,2007,1,5,2010,Jan;Apr;Jul;Oct,BY
712,a,a,4870,9,2007,1,45,2009,Jan;Apr;Jul;Oct,BY
713,a,c,220,0,0,1,10,2014,Jan;Apr;Jul;Oct,NW
714,d,c,12070,10,2005,1,10,2013,Jan;Apr;Jul;Oct,BW
715,a,a,14810,6,2014,0,0,0,0,ST
716,d,a,3200,1,2008,1,22,2011,Jan;Apr;Jul;Oct,BY
717,d,c,310,0,0,1,40,2011,Jan;Apr;Jul;Oct,NW
718,a,a,1100,6,2015,0,0,0,0,HE
719,c,c,8190,0,0,1,45,2009,Feb;May;Aug;Nov,BY
720,a,c,15320,3,2011,1,14,2013,Feb;May;Aug;Nov,SH
721,a,c,3590,9,2012,1,22,2012,Mar;Jun;Sep;Dec,SH
722,a,a,50,0,0,0,0,0,0,"HB,NI"
723,d,c,5650,9,2008,1,5,2013,Feb;May;Aug;Nov,HE
724,d,c,5900,0,0,0,0,0,0,NW
725,d,c,17540,6,2012,0,0,0,0,SH
726,a,c,40540,2,2002,0,0,0,0,SN
727,a,a,2050,3,2007,0,0,0,0,HE
728,d,a,13990,0,0,1,14,2011,Jan;Apr;Jul;Oct,BW
729,c,c,8980,6,2011,0,0,0,0,NW
730,c,a,1190,9,2013,0,0,0,0,BE
731,a,a,15270,0,0,1,10,2014,Jan;Apr;Jul;Oct,NW
732,a,c,35280,0,0,0,0,0,0,SH
733,b,b,860,10,1999,0,0,0,0,NW
734,a,a,220,0,0,1,36,2013,Mar;Jun;Sep;Dec,NW
735,d,c,1920,4,2005,0,0,0,0,ST
736,c,c,1650,0,0,1,14,2011,Jan;Apr;Jul;Oct,BY
737,a,a,100,5,2007,1,31,2013,Jan;Apr;Jul;Oct,NW
738,d,c,5980,10,2005,0,0,0,0,NW
739,d,c,2770,6,2008,1,22,2011,Jan;Apr;Jul;Oct,BY
740,d,a,6400,3,2014,0,0,0,0,HE
741,d,c,11900,0,0,0,0,0,0,"HB,NI"
742,d,c,4380,0,0,0,0,0,0,NW
743,a,a,6710,11,2003,1,14,2012,Jan;Apr;Jul;Oct,SN
744,a,a,1370,12,2011,1,40,2014,Jan;Apr;Jul;Oct,BY
745,a,a,17650,11,2013,1,37,2009,Jan;Apr;Jul;Oct,SN
746,d,c,4330,2,2011,1,35,2011,Mar;Jun;Sep;Dec,HE
747,c,c,45740,8,2008,0,0,0,0,ST
748,d,a,2380,3,2010,1,14,2011,Jan;Apr;Jul;Oct,NW
749,a,a,3410,8,2011,1,14,2015,Jan;Apr;Jul;Oct,RP
750,d,a,8670,2,2002,1,14,2011,Jan;Apr;Jul;Oct,BY
751,a,a,650,10,2006,0,0,0,0,NW
752,a,a,970,3,2013,1,31,2013,Feb;May;Aug;Nov,NW
753,d,c,540,11,2012,1,35,2010,Mar;Jun;Sep;Dec,NW
754,c,c,380,5,2008,1,10,2014,Mar;Jun;Sep;Dec,TH
755,d,c,13130,12,2003,0,0,0,0,TH
756,a,c,50,0,0,1,40,2011,Jan;Apr;Jul;Oct,NW
757,a,c,3450,0,0,0,0,0,0,BW
758,a,c,19780,6,2008,0,0,0,0,BW
759,a,a,110,11,2012,1,31,2013,Feb;May;Aug;Nov,NW
760,a,a,560,1,2011,0,0,0,0,BE
761,a,a,2390,9,2012,0,0,0,0,BE
762,d,c,1280,0,0,1,10,2013,Mar;Jun;Sep;Dec,BW
763,d,c,32240,3,2010,0,0,0,0,SH
764,a,c,26490,0,0,1,10,2014,Mar;Jun;Sep;Dec,RP
765,a,c,25430,5,1999,1,37,2009,Jan;Apr;Jul;Oct,BW
766,d,c,9820,0,0,0,0,0,0,BY
767,a,c,13080,0,0,0,0,0,0,SH
768,a,c,2630,9,2012,0,0,0,0,SH
769,b,b,840,0,0,1,48,2012,Jan;Apr;Jul;Oct,NW
770,a,c,100,4,2015,0,0,0,0,NW
771,a,a,20640,9,2007,0,0,0,0,BY
772,d,c,1850,0,0,0,0,0,0,HH
773,a,a,200,0,0,0,0,0,0,HE
774,a,c,640,9,2013,0,0,0,0,SH
775,d,c,6970,12,2005,1,22,2011,Jan;Apr;Jul;Oct,BY
776,c,a,700,4,2009,1,14,2011,Jan;Apr;Jul;Oct,NW
777,d,c,8250,10,2004,1,10,2013,Mar;Jun;Sep;Dec,BW
778,a,a,340,6,2003,1,40,2014,Jan;Apr;Jul;Oct,BY
779,a,a,16990,4,2004,0,0,0,0,SN
780,a,a,18160,0,0,0,0,0,0,SN
781,a,a,630,4,2007,0,0,0,0,ST
782,c,c,5390,8,2003,1,1,2012,Jan;Apr;Jul;Oct,RP
783,d,c,15490,0,0,0,0,0,0,TH
784,a,a,560,10,2014,1,10,2014,Jan;Apr;Jul;Oct,NW
785,d,c,970,7,2005,1,31,2013,Feb;May;Aug;Nov,NW
786,a,a,290,11,2006,1,5,2013,Feb;May;Aug;Nov,ST
787,c,c,3210,6,2009,0,0,0,0,SN
788,a,c,1530,3,2013,0,0,0,0,BE
789,a,c,9770,7,2003,0,0,0,0,BW
790,d,c,9070,12,2003,0,0,0,0,HE
791,a,a,5950,4,2007,0,0,0,0,NW
792,d,a,17280,10,2009,1,18,2011,Feb;May;Aug;Nov,NW
793,d,a,2710,7,2006,0,0,0,0,NW
794,c,c,5090,9,2006,0,0,0,0,SN
795,d,a,510,0,0,1,35,2010,Mar;Jun;Sep;Dec,NW
796,a,c,7180,11,2012,0,0,0,0,NW
797,a,a,2090,10,2012,1,40,2014,Jan;Apr;Jul;Oct,BY
798,a,a,9560,4,2001,0,0,0,0,SN
799,a,c,2700,0,0,0,0,0,0,NW
800,d,a,2020,7,2014,0,0,0,0,RP
801,d,a,48330,4,2013,0,0,0,0,SH
802,a,c,910,0,0,1,22,2011,Feb;May;Aug;Nov,SH
803,d,a,1760,0,0,1,10,2014,Mar;Jun;Sep;Dec,HE
804,c,c,2100,0,0,1,1,2013,Jan;Apr;Jul;Oct,BY
805,d,a,24770,10,2011,1,10,2014,Mar;Jun;Sep;Dec,BY
806,d,a,260,0,0,1,44,2010,Feb;May;Aug;Nov,BY
807,a,a,3870,4,2008,0,0,0,0,HE
808,a,a,18620,0,0,1,31,2009,Feb;May;Aug;Nov,SN
809,a,a,12770,10,2000,0,0,0,0,NW
810,d,c,9640,11,2013,0,0,0,0,RP
811,a,a,410,9,2012,0,0,0,0,SH
812,d,a,2590,9,2012,0,0,0,0,SN
813,a,a,1560,9,2003,0,0,0,0,BW
814,d,c,24530,7,2013,0,0,0,0,TH
815,a,a,590,1,1900,1,40,2014,Jan;Apr;Jul;Oct,BY
816,c,c,460,0,0,0,0,0,0,NW
817,a,a,140,3,2006,0,0,0,0,BE
818,d,a,490,0,0,1,35,2010,Mar;Jun;Sep;Dec,HE
819,a,c,720,10,2014,0,0,0,0,SH
820,a,c,1650,0,0,1,40,2014,Jan;Apr;Jul;Oct,BY
821,a,a,1700,9,2009,0,0,0,0,BE
822,a,c,410,11,2010,1,48,2010,Mar;Jun;Sep;Dec,SH
823,a,c,16210,11,2010,0,0,0,0,SH
824,a,a,17570,0,0,0,0,0,0,SH
825,a,a,380,5,2011,1,40,2014,Jan;Apr;Jul;Oct,BY
826,a,c,7980,6,2005,0,0,0,0,NW
827,a,c,250,1,2005,0,0,0,0,BE
828,d,c,3290,12,2014,0,0,0,0,ST
829,c,a,110,0,0,0,0,0,0,HE
830,a,c,6320,0,0,1,5,2011,Jan;Apr;Jul;Oct,SN
831,a,a,800,6,2007,0,0,0,0,NW
832,d,a,5070,0,0,1,45,2009,Feb;May;Aug;Nov,HE
833,d,c,3290,12,1999,1,35,2010,Mar;Jun;Sep;Dec,RP
834,a,a,3470,3,2012,0,0,0,0,BE
835,a,a,2890,12,2007,1,10,2014,Mar;Jun;Sep;Dec,NW
836,a,a,2720,9,2012,0,0,0,0,SN
837,a,c,14600,4,2015,0,0,0,0,HE
838,d,c,6890,0,0,1,48,2011,Mar;Jun;Sep;Dec,TH
839,c,a,240,1,2015,0,0,0,0,BE
840,a,a,1070,9,2009,0,0,0,0,"HB,NI"
841,a,a,27650,8,2004,0,0,0,0,SN
842,d,c,1200,11,2007,0,0,0,0,BY
843,c,a,60,4,2006,0,0,0,0,BE
844,a,a,2030,9,2012,1,18,2011,Feb;May;Aug;Nov,NW
845,d,a,7860,11,2005,1,14,2011,Jan;Apr;Jul;Oct,NW
846,a,c,8860,4,2004,1,37,2009,Jan;Apr;Jul;Oct,NW
847,c,c,190,0,0,1,31,2013,Feb;May;Aug;Nov,NW
848,a,c,370,7,2007,1,14,2011,Jan;Apr;Jul;Oct,BW
849,c,c,5000,0,0,0,0,0,0,"HB,NI"
850,d,a,1120,5,2007,1,31,2013,Jan;Apr;Jul;Oct,NW
851,d,c,2330,0,0,1,49,2014,Mar;Jun;Sep;Dec,BY
852,c,a,940,4,2004,1,14,2011,Jan;Apr;Jul;Oct,HE
853,a,a,14040,0,0,0,0,0,0,BW
854,c,a,4770,0,0,1,13,2010,Jan;Apr;Jul;Oct,SN
855,a,a,3440,0,0,1,45,2009,Feb;May;Aug;Nov,BW
856,a,a,3020,2,2010,0,0,0,0,HH
857,c,a,6270,8,2005,1,23,2014,Mar;Jun;Sep;Dec,HE
858,a,a,3370,12,2008,1,40,2014,Jan;Apr;Jul;Oct,BY
859,c,a,21770,7,2015,0,0,0,0,BY
860,c,c,5980,2,2010,0,0,0,0,HH
861,c,c,740,0,0,1,14,2013,Mar;Jun;Sep;Dec,RP
862,a,c,2840,3,2010,1,14,2011,Jan;Apr;Jul;Oct,SH
863,a,c,21370,11,2010,0,0,0,0,SH
864,a,a,1020,10,2012,1,45,2009,Feb;May;Aug;Nov,BW
865,d,c,2640,0,0,0,0,0,0,NW
866,d,a,9680,0,0,1,5,2013,Feb;May;Aug;Nov,HE
867,d,c,21810,9,2012,0,0,0,0,SH
868,d,c,1360,8,2005,1,10,2014,Jan;Apr;Jul;Oct,HE
